nice_level;full;num_tuples;db_size_mb;it;exec_time;disk_freespace;swap_total_mb;swap_used_mb;swap_free_mb;filter_result_set_elem_num;max_filter_result_set_elem_num;max_hash_table_elem_num;max_final_result_set_elem_num;filter_result_set_size;hash_table_num_elem;final_result_set_size
0;yes;12000000;1464.8438;23;2433.3470;33869746176;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;yes;12000000;1464.8438;24;2425.4900;33869746176;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;no;16000000;1953.1250;0;2919.4720;33869742080;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;no;16000000;1953.1250;1;2954.8190;33869742080;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;no;16000000;1953.1250;2;2953.8140;33869733888;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;no;16000000;1953.1250;3;2969.9580;33869733888;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;no;16000000;1953.1250;4;2918.8640;33869733888;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;no;16000000;1953.1250;5;2926.9410;33869733888;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;no;16000000;1953.1250;6;2950.4700;33869733888;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;no;16000000;1953.1250;7;2980.6040;33869733888;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;no;16000000;1953.1250;8;2950.2810;33869684736;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;no;16000000;1953.1250;9;2978.1430;33869684736;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;no;16000000;1953.1250;10;2961.6520;33869684736;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;no;16000000;1953.1250;11;2986.1060;33869684736;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;no;16000000;1953.1250;12;2963.0990;33869684736;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;no;16000000;1953.1250;13;2965.5410;33869672448;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;no;16000000;1953.1250;14;2961.0430;33869672448;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;no;16000000;1953.1250;15;3003.5810;33869623296;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;no;16000000;1953.1250;16;2971.4300;33869623296;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;no;16000000;1953.1250;17;3124.1530;33869623296;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;no;16000000;1953.1250;18;3217.6350;33869623296;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;no;16000000;1953.1250;19;3235.5750;33869623296;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;no;16000000;1953.1250;20;3237.4750;33869623296;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;no;16000000;1953.1250;21;3251.2740;33869623296;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;no;16000000;1953.1250;22;3246.6950;33869611008;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;no;16000000;1953.1250;23;3267.0630;33869611008;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;no;16000000;1953.1250;24;3256.1050;33869611008;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;yes;16000000;1953.1250;0;3234.2020;33869611008;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;yes;16000000;1953.1250;1;3254.3170;33869611008;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;yes;16000000;1953.1250;2;3261.0130;33869611008;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;yes;16000000;1953.1250;3;3292.8190;33869611008;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;yes;16000000;1953.1250;4;3277.1280;33869557760;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;yes;16000000;1953.1250;5;3271.1230;33869557760;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;yes;16000000;1953.1250;6;3252.4310;33869557760;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;yes;16000000;1953.1250;7;3250.8370;33869672448;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;yes;16000000;1953.1250;8;3230.8140;33869672448;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;yes;16000000;1953.1250;9;3262.6640;33869672448;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;yes;16000000;1953.1250;10;3243.1040;33869668352;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;yes;16000000;1953.1250;11;3272.9440;33869668352;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;yes;16000000;1953.1250;12;3283.6060;33869668352;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;yes;16000000;1953.1250;13;3282.2130;33869668352;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;yes;16000000;1953.1250;14;3270.3900;33869668352;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;yes;16000000;1953.1250;15;3266.7630;33869611008;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;yes;16000000;1953.1250;16;3287.1510;33869598720;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;yes;16000000;1953.1250;17;3273.5230;33869598720;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;yes;16000000;1953.1250;18;3246.7550;33869598720;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;yes;16000000;1953.1250;19;3241.8750;33869598720;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;yes;16000000;1953.1250;20;3294.3880;33869598720;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;yes;16000000;1953.1250;21;3276.7660;33869598720;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;yes;16000000;1953.1250;22;3294.2650;33869586432;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;yes;16000000;1953.1250;23;3237.8250;33869586432;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;yes;16000000;1953.1250;24;3235.8970;33869586432;0,00;0,00;0,00;1600000;1760001;1936001;1760000;1600000;1600000;1600000
0;no;20000000;2441.4062;0;3659.1700;33869570048;0,00;0,00;0,00;2000000;2200001;2420001;2200000;2000000;2000000;2000000
